STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
263,哭,kū,Động từ,khốc,khóc,cry,哭,TRUE,,
264,笑,xiào,Động từ,tiếu,cười,laugh,笑,TRUE,,
265,迟到,chídào,Động từ,trì đáo,"đến trễ, đi trễ, tới muộn",be late,迟到,TRUE,,
266,放心,fàngxīn,Tính từ,phóng tâm,yên tâm,rest assured,放心,TRUE,,
267,满意,mǎnyì,Tính từ,mãn ý,"hài lòng, thỏa mãn, vừa ý",satisfy,满意,TRUE,,
268,愿意,yuànyì,Động từ,nguyện ý,"nguyện ý, sẵn lòng, bằng lòng",willing,愿意,TRUE,,
269,意义,yìyì,Danh từ,ý nghĩa,ý nghĩa,significance,意义,TRUE,,
270,影响,yǐngxiǎng,Động từ,ảnh hưởng,(sự) ảnh hưởng,Influence,影响,TRUE,,
271,邻居,línjū,Danh từ,lân cư,"hàng xóm, láng giềng",Neighbor,邻居,TRUE,,
272,坏,huài,Tính từ,hoại,"xấu, hư, hỏng",bad,坏,TRUE,,
273,短,duǎn,Tính từ,đoản,ngắn,short,短,TRUE,,
274,短命,duǎnmìng,Tính từ,đoản mệnh,"đoản mệnh, chết sớm, số phận ngắn ngủi",short-lived,短命,TRUE,,
275,难过,nánguò,Tính từ,nan quá,"buồn, buồn bã",sad,难过,TRUE,,
276,注意,zhùyì,Động từ,chú ý,"chú ý, để ý",Notice,注意,TRUE,,
277,目的,mùdì,Danh từ,mục đích,mục đích,Purpose,目的,TRUE,,
278,主要,zhǔyào,Tính từ,chủ yếu,"chủ yếu, chính",main,主要,TRUE,,
279,被,bèi,Động từ,bị,"bị, được",quilt,被,TRUE,,
280,一定,yīdìng,Phó từ,nhất định,nhất định,must,一定,TRUE,,
281,总是,zǒngshì,Phó từ,tổng thị,"luôn luôn, lúc nào cũng",always,总是,TRUE,,
282,微信,wēixìn,Danh từ,vi tín,WeChat (mạng xã hội ở Trung Quốc),WeChat,微信,TRUE,,
283,扫码,sǎomǎ,Động từ,đả mã,Quét mã,Scan the code,扫码,TRUE,,
284,遇到,yùdào,Động từ,ngộ đáo,gặp,meet,遇到,TRUE,,
285,坏人,huàirén,Danh từ,hoại nhân,kẻ xấu,bad guys,坏人,TRUE,,
286,照顾,zhàogu,Động từ,chiếu cố,chăm sóc,take care of,照顾,TRUE,,
287,容易,róngyì,Tính từ,dung dịch,dễ,easy,容易,TRUE,,
288,困难,kùnnán,Danh từ,khốn nan,khó khăn,difficulty,困难,TRUE,,
289,北方,běifāng,Danh từ,bắc phương,phía bắc,north,北方,TRUE,,
290,以前,yǐqián,Danh từ,dĩ tiễn,"trước đây, trước kia",before,以前,TRUE,,
291,后来,hòulái,Danh từ,hậu lai,"sau này, sau đó",later,后来,TRUE,,
292,以后,yǐhòu,Danh từ,dĩ hậu,"sau này, sau đó",after,以后,TRUE,,
293,在一起,zài yīqǐ,Cụm từ,tại nhất khởi,Cùng nhau,Together,在一起,TRUE,,
294,分手,fēnshǒu,Động từ,phân thủ,chia tay,separate,分手,TRUE,,
295,宾馆,bīnguǎn,Danh từ,tân quán,"khách sạn, nhà khách",Hotel,宾馆,TRUE,,
296,护照,hùzhào,Danh từ,hộ chiếu,hộ chiếu,passport,护照,TRUE,,
297,酒店,jiǔdiàn,Danh từ,tựu điếm,khách sạn,hotel,酒店,TRUE,,
298,航班,hángbān,Danh từ,hàng ban,chuyến bay,flight,航班,TRUE,,
299,起飞,qǐfēi,Động từ,khởi phi,cất cánh,take off,起飞,TRUE,,
300,降落,jiàngluò,Động từ,giáng lạc,hạ cánh,landing,降落,TRUE,,
301,地址,dìzhǐ,Danh từ,địa chỉ,Địa chỉ,address,地址,TRUE,,
302,动物园,dòngwùyuán,Danh từ,động vật viên,vườn thú,zoo,动物园,TRUE,,
303,动物,dòngwù,Danh từ,động vật,động vật,animal,动物,TRUE,,
304,熊猫,xióngmāo,Danh từ,hùng miêu,gấu trúc,panda,熊猫,TRUE,,
305,鸟,niǎo,Danh từ,điểu,chim,bird,鸟,TRUE,,
306,王子,wángzǐ,Danh từ,vương tử,hoàng tử,prince,王子,TRUE,,
307,福宝,fúbǎo,Danh từ,phúc bảo,Phúc Bảo,Fu Bao,福宝,TRUE,,
308,出现,chūxiàn,Động từ,xuất hiện,Xuất hiện,Appear,出现,TRUE,,
309,聪明,cōngming,Tính từ,thông minh,thông minh,clever,聪明,TRUE,,
310,害怕,hàipà,Tính từ,hại phạ,sợ hãi,Fear,害怕,TRUE,,
311,地图,dìtú,Danh từ,địa đồ,bản đồ,map,地图,TRUE,,
312,国家,guójiā,Danh từ,quốc gia,Quốc gia,nation,国家,TRUE,,
313,声音,shēngyīn,Danh từ,thanh âm,âm thanh,sound,声音,TRUE,,
314,段,duàn,Lượng từ,đoạn,"đoạn, khoảng (đường, thời gian, ...)",part,段,TRUE,,
315,分享,fēnxiǎng,Động từ,phân hưởng,chia sẻ,share,分享,TRUE,,
316,除了……以外,chúle   yǐwài,Cụm từ,trừ liễu...dĩ ngoại,Bên cạnh đó...,Besides...,除了……以外,TRUE,,
317,不但……而且,bùdàn   érqiě,Cụm từ,bất đãn...nhi thả,Không chỉ... mà còn,Not only... but also,不但……而且,TRUE,,
318,情况,qíngkuàng,Danh từ,tình trạng,Tình trạng,Condition,情况,TRUE,,
319,终于,zhōngyú,Phó từ,chung vu,Cuối cùng,finally,终于,TRUE,,
320,根据,gēnjù,Phó từ,căn cứ,"dựa vào, căn cứ vào, theo",according to,根据,TRUE,,
321,街道,jiēdào,Danh từ,nhai đạo,đường phố,street,街道,TRUE,,
322,练习,liànxí,Động từ,luyện tập,luyện tập,practise,练习,TRUE,,
323,锻炼,duànliàn,Động từ,đoạn luyện,"tập luyện, rèn luyện, tập thể dục",exercise,锻炼,TRUE,,
324,万,wàn,Danh từ,vạn,Mười nghìn,Ten thousand,万,TRUE,,
325,词语,cíyǔ,Danh từ,từ ngữ,từ,words,词语,TRUE,,
326,句子,jùzi,Danh từ,cú tử,câu,sentence,句子,TRUE,,
327,相信,xiāngxìn,Động từ,tương tín,tin tưởng,believe,相信,TRUE,,
328,新闻,xīnwén,Danh từ,tân văn,tin tức,news,新闻,TRUE,,
329,习惯,xíguàn,Danh từ,tập quán,Thói quen,Habit,习惯,TRUE,,
330,内容,nèiróng,Danh từ,nội dung,nội dung,content,内容,TRUE,,
331,要求,yāoqiú,Danh từ,yêu cầu,Yêu cầu,Require,要求,TRUE,,
332,地球,dìqiú,Danh từ,địa cầu,Trái đất,Earth,地球,TRUE,,
333,简单,jiǎndān,Tính từ,giản đơn,Đơn giản,Simple,简单,TRUE,,
334,提高,tígāo,"Động từ, Danh từ",đề cao,"nâng cao, cải thiện",improve,提高,TRUE,,
335,水平,shuǐpíng,Danh từ,thủy bình,"trình độ, mức độ, mức",level,水平,TRUE,,
336,只要……就,zhǐyào   jiù,Cụm từ,chỉ yếu...tựu,chỉ cần...thì,As long as...,只要……就,TRUE,,
337,只有……才,zhǐyǒu   cái,Cụm từ,chỉ hữu...tài,Chỉ có...mới,Only...,只有……才,TRUE,,
338,几乎,jīhū,Phó từ,cơ hồ,hầu hết,almost,几乎,TRUE,,
339,所有,suǒyǒu,Danh từ,sở hữu,tất cả,all,所有,TRUE,,
340,全,quán,Tính từ,toàn,"toàn, toàn bộ",Complete,全,TRUE,,
341,安全,ānquán,Tính từ,an toàn,an toàn,Safety,安全,TRUE,,
342,其实,qíshí,Phó từ,kỳ thực,Thực ra,actually,其实,TRUE,,
343,高考,gāokǎo,Danh từ,cao khảo,Kỳ thi tuyển sinh đại học,College Entrance Examination,高考,TRUE,,
344,开心,kāixīn,Tính từ,khai tâm,vui mừng,happy,开心,TRUE,,
345,了不起,liǎobuqǐ,Tính từ,liễu bất khởi,"giỏi, tài ba, to tát",amazing,了不起,TRUE,,
346,辛苦,xīnkǔ,Tính từ,tân khổ,vất vả,Hard,辛苦,TRUE,,
347,成绩,chéngjì,Danh từ,thành tích,"thành tích, thành tựu, kết quả",score,成绩,TRUE,,
348,差,chā,Tính từ,sai,kém,Difference,差,TRUE,,
349,刻,kè,Danh từ,khắc,chạm khắc,carve,刻,TRUE,,
350,表示,biǎoshì,Động từ,biểu thị,"biểu thị, thể hiện",express,表示,TRUE,,
351,感谢,gǎnxiè,Động từ,cảm tạ,"cảm ơn, cảm tạ",grateful,感谢,TRUE,,
352,欢迎,huānyíng,Động từ,hoan nghênh,Chào mừng,welcome,欢迎,TRUE,,
353,相同,xiāngtóng,Tính từ,tương đồng,"như nhau, giống nhau, tương đồng",same,相同,TRUE,,
354,过去,guòqu,Danh từ,quá khứ,quá khứ,past,过去,TRUE,,
355,将来,jiānglái,Danh từ,tương lai,tương lai,future,将来,TRUE,,
356,消息,xiāoxi,Danh từ,tiêu tức,"thông tin, tin tức",information,消息,TRUE,,
357,原来,yuánlái,Phó từ,nguyên lai,hóa ra là,turn out to be,原来,TRUE,,
358,或许,huòxǔ,Phó từ,hoặc hứa,có lẽ,perhaps,或许,TRUE,,
359,认为,rènwéi,Động từ,nhận vi,"cho rằng, nghĩ rằng",think,认为,TRUE,,
360,以为,yǐwéi,Động từ,dĩ vi,"tưởng là, tưởng rằng",Think,以为,TRUE,,
361,方法,fāngfǎ,Danh từ,phương pháp,phương pháp,method,方法,TRUE,,
362,更,gēng,Phó từ,canh,"càng, hơn",Even,更,TRUE,,
363,带来,dàilái,Động từ,đới lai,"mang đến, đem lại",bring,带来,TRUE,,
364,听力,tīnglì,Danh từ,thính lực,"năng lực nghe, thính lực",hearing,听力,TRUE,,
365,阅读,yuèdú,Danh từ,duyệt độc,đọc hiểu,read,阅读,TRUE,,
366,同意,tóngyì,Động từ,đồng ý,đồng ý,agree,同意,TRUE,,
367,愿意,yuànyì,Động từ,nguyện ý,"sẵn lòng, bằng lòng, nguyện ý",willing,愿意,TRUE,,
368,留学,liúxué,Động từ,lưu học,Du học,Study abroad,留学,TRUE,,
369,敢,gǎn,Động từ,cảm,dám,dare,敢,TRUE,,
370,普通话,pǔtōnghuà,Danh từ,phổ thông thoại,"Tiếng Phổ Thông, Quan Thoại, Mandarin",mandarin,普通话,TRUE,,
371,祝,zhù,Động từ,chúc,"chúc, cầu chúc",wish,祝,TRUE,,
372,选择,xuǎnzé,Động từ,tuyển trạch,chọn,choose,选择,TRUE,,
373,作用,zuòyòng,Danh từ,tác dụng,tác dụng,effect,作用,TRUE,,
374,关于,guānyú,Trạng từ,quan vu,Về,about,关于,TRUE,,
375,举行,jǔxíng,Động từ,cử hành,"tiến hành, cử hành, tổ chức",Hold,举行,TRUE,,
376,首都,shǒudū,Danh từ,thủ đô,thủ đô,capital,首都,TRUE,,
377,德,dé,Danh từ,đức,Đức,Germany,德,TRUE,,
378,道德,dàodé,Danh từ,đạo đức,Đạo đức,Morality,道德,TRUE,,
379,得到,dédào,Động từ,đắc đáo,đạt được,get,得到,TRUE,,
380,市场,shìchǎng,Danh từ,thị trường,"chợ, thị trường",market,市场,TRUE,,
381,使,shǐ,Động từ,sứ,"làm cho, khiến cho",make,使,TRUE,,
382,叫,jiào,Động từ,khiếu,"bảo, yêu cầu; bị, được",Call,叫,TRUE,,
383,让,ràng,Động từ,nhượng,"làm, khiến, bảo, yêu cầu",let,让,TRUE,,
384,法律,fǎlǜ,Danh từ,pháp luật,pháp luật,law,法律,TRUE,,
385,律师,lǜshī,Danh từ,luật sư,luật sư,lawyer,律师,TRUE,,
386,流利,liúlì,Tính từ,lưu lợi,thông thạo,fluent,流利,TRUE,,
387,飞行员,fēixíngyuán,Danh từ,phi hành viên,phi công,pilot,飞行员,TRUE,,
388,服务员,fúwùyuán,Danh từ,phục vụ viên,nhân viên phục vụ,waiter,服务员,TRUE,,
389,法院,fǎyuàn,Danh từ,pháp viện,tòa án,court,法院,TRUE,,
390,公安,gōngān,Danh từ,công an,công an,public security,公安,TRUE,,
391,成功,chénggōng,Tính từ,thành công,thành công,success,成功,TRUE,,
392,秘书,mìshū,Danh từ,bí thư,thư ký,secretary,秘书,TRUE,,
393,老板,lǎobǎn,Danh từ,lão bản,ông chủ,boss,老板,TRUE,,
394,经理,jīnglǐ,Danh từ,kinh lý,giám đốc,manager,经理,TRUE,,
395,春节,chūnjié,Danh từ,xuân tiết,"tết, tết Nguyên đán",Spring Festival,春节,TRUE,,
396,请假,qǐngjià,Động từ ly hợp,thỉnh giá,Xin nghỉ phép,Ask for leave,请假,TRUE,,
397,放假,fàngjià,Động từ ly hợp,phóng giá,nghỉ lễ,Have a holiday,放假,TRUE,,
398,越,yuè,Phó từ,việt,càng,cross,越,TRUE,,
399,睡着,shuìzháo,Danh từ,thụy trước,"ngủ, ngủ thiếp đi ",sleep,睡着,TRUE,,
400,中介,zhōngjiè,Danh từ,trung gian,người trung gian,intermediary,中介,TRUE,,
401,云,yún,Danh từ,vân,đám mây,cloud,云,TRUE,,
402,长,cháng,Tính từ,trường,dài,long,长,TRUE,,
403,关系,guānxi,Danh từ,quan hệ,mối quan hệ,relation,关系,TRUE,,
404,为了,wèile,Danh từ,vị liễu,"vì, để",for,为了,TRUE,,
405,为,wéi,Danh từ,vị,vì,for,为,TRUE,,
406,特点,tèdiǎn,Danh từ,đặc điểm,đặc điểm,Features,特点,TRUE,,
407,黄河,huánghé,Danh từ,hoàng hà,Sông Hoàng Hà,Yellow River,黄河,TRUE,,
408,真正,zhēnzhèng,Tính từ,chân chính,"chân chính, thật, thật sự",real,真正,TRUE,,
409,多么,duōme,Danh từ,đa ma,Làm sao,how,多么,TRUE,,
410,在身边,zài shēnbiān,Cụm từ,tại thân biên,ở bên cạnh,Beside,在身边,TRUE,,
411,经过,jīngguò,Động từ,kinh quá,"đi qua, trải qua",go through,经过,TRUE,,
412,厉害,lìhai,Tính từ,lệ hại,"lợi hại, giỏi, ghê gớm",sharp,厉害,TRUE,,
413,星星,xīngxing,Danh từ,tinh tinh,Ngôi sao,Star,星星,TRUE,,
414,皮鞋,píxié,Danh từ,bì hài,giày da,leather shoes,皮鞋,TRUE,,
415,长期,chángqī,"Tính từ, Danh từ",trường kỳ,"dài, trường kỳ; thời gian dài",long,长期,TRUE,,
416,标准,biāozhǔn,Danh từ,tiêu chuẩn,tiêu chuẩn,standard,标准,TRUE,,
417,成长,chéngzhǎng,Động từ,thành trưởng,lớn lên,growing up,成长,TRUE,,
418,感觉,gǎnjué,Động từ,cảm giác,Cảm thấy,Feel,感觉,TRUE,,
419,感情,gǎnqíng,Danh từ,cảm tình,"tình cảm, cảm xúc",emotion,感情,TRUE,,
420,好像,hǎoxiàng,Động từ,hảo tượng,"giống, giống như; dường như, hình như (phó từ)",like,好像,TRUE,,
421,故乡,gùxiāng,Danh từ,cố hương,"quê hương, cố hương",home,故乡,TRUE,,
422,老家,lǎojiā,Danh từ,lão gia,quê hương,hometown,老家,TRUE,,
423,人员,rényuán,Danh từ,nhân viên,nhân viên,personnel,人员,TRUE,,
424,运动员,yùndòngyuán,Danh từ,vận động viên,vận động viên,athlete,运动员,TRUE,,
425,坚持,jiānchí,Tính từ,kiên trì,kiên trì,persist in,坚持,TRUE,,
426,经济,jīngjì,Danh từ,kinh tế,kinh tế,economy,经济,TRUE,,
427,警察,jǐngchá,Danh từ,cảnh sát,cảnh sát,police,警察,TRUE,,
428,就是,jiùshì,Danh từ,tựu thị,tức là,that is,就是,TRUE,,
429,有空儿,yǒu kòngr,Tính từ,hữu không,"rảnh, có thời gian rảnh",When you have time,有空儿,TRUE,,
430,慢慢,mànmàn,Phó từ,mạn mạn,"từ từ, dần dần",Slowly,慢慢,TRUE,,
431,美好,měihǎo,Tính từ,mỹ hảo,"tốt, tốt đẹp",good,美好,TRUE,,
432,正确,zhèngquè,Tính từ,chính xác,"đúng, chính xác",correct,正确,TRUE,,
433,目标,mùbiāo,Danh từ,mục tiêu,Mục tiêu,Target,目标,TRUE,,
434,死,sǐ,Động từ,tử,chết,die,死,TRUE,,
435,自然,zìrán,Danh từ,tự nhiên,"thiên nhiên, tự nhiên",nature,自然,TRUE,,
436,游泳馆,yóuyǒngguǎn,Danh từ,du vịnh quán,Hồ bơi,Swimming pool,游泳馆,TRUE,,
437,主要是因为,zhǔyào shìyīnwéi,Cụm từ,chủ yếu thị nhân vị,Chủ yếu là vì,Mainly because,主要是因为,TRUE,,
438,表演,biǎoyǎn,Danh từ,biểu diễn,"buổi diễn, màn trình diễn",Performance,表演,TRUE,,
439,表演,biǎoyǎn,Động từ,biểu diễn,"biểu diễn, trình diễn",Performance,表演,TRUE,,
440,零钱,língqián,Danh từ,linh tiền,tiền lẻ,small change,零钱,TRUE,,
441,许,xǔ,Phó từ,hứa,"có lẽ, có thể",May,许,TRUE,,
442,人们,rénmen,Danh từ,nhân môn,"mọi người, người ta",people,人们,TRUE,过去的人们没有现在的住的长。,Người xưa không sống thọ như người nay.
443,脸色,liǎnsè,Danh từ,kiểm sắc,"sắc mặt, thần sắc, vẻ mặt",complexion,脸色,TRUE,你的脸色看起来不太好，有什么事吗？,"Sắc mặt của bạn trông có vẻ không tốt, có chuyện gì sao?"
444,班长,bānzhǎng,Danh từ,ban trưởng,lớp trưởng,Squad Leader,班长,TRUE,我们班的班长喜欢帮助别人。,Lớp trưởng của chúng tôi thích giúp đỡ người khác.
445,名人,míngrén,Danh từ,danh nhân,người nổi tiếng,celebrity,名人,TRUE,我们在这段街道可以遇到很多名人。,Chúng ta có thể bắt gặp rất nhiều người nổi tiếng trên con phố này.
446,难忘,nánwàng,Tính từ,nan vong,"khó quên, đáng nhớ",memorable,难忘,TRUE,这个节日的表演很难忘。,Các màn trình diễn tại lễ hội này thật khó quên.
447,不同,bùtóng,Tính từ,bất đồng,khác nhau,different,不同,TRUE,我想了解不同国家的文化。,Tôi muốn tìm hiểu về văn hóa của các quốc gia khác nhau.
448,丰富,fēngfù,Tính từ,phong phú,"phong phú, nhiều",Rich,丰富,TRUE,我们国家的历史文化非常丰富。,Đất nước chúng ta có một lịch sử và nền văn hóa rất phong phú.
449,丰富,fēngfù,Động từ,phong phú,"làm phong phú, làm giàu thêm",Rich,丰富,TRUE,看书必须丰富我们的知识。,Đọc sách là điều thiết yếu để làm giàu kiến ​​thức của chúng ta.
450,派对,pàiduì,Danh từ,phái đối,"tiệc, bữa tiệc, party",party,派对,TRUE,她请我明天参加她的生日派对。,Cô ấy mời tôi đến dự tiệc sinh nhật của cô ấy vào ngày mai.
451,时光,shíguāng,Danh từ,thời quang,"thời gian, ngày tháng, năm tháng",Time,时光,TRUE,这段时光让我真难忘。,Khoảng thời gian này khiến tôi thật khó quên.
452,现代,xiàndài,Tính từ,hiện đại,hiện đại,modern,现代,TRUE,胡志明市是一个很现代的城市。,
453,广州,guǎngzhōu,Danh từ,Quảng Châu ,"Quảng Châu (tp thuộc tỉnh Quảng Đông, ZhongGuo)",Guangzhou,广州,TRUE,,
454,心疼,xīnténg,Động từ,tâm đông,"thương, đau lòng, xót",Heartache,心疼,TRUE,,
455,早出晚归,zǎochūwǎnguī,Cụm từ,,đi sớm về khuya,Early to work and late to return,早出晚归,TRUE,,
456,消防员,xiāofángyuán,Danh từ,tiêu phòng viên,lính cứu hỏa,firefighters,消防员,TRUE,,
457,耐心,nàixīn,Tính từ,nại tâm,"kiên trì, nhẫn nại, kiên nhẫn",patience,耐心,TRUE,,
458,解释,jiěshì,Động từ,giải thích,"giải thích, giảng giải",explain,解释,TRUE,,
459,放弃,fàngqì,Động từ,phóng khí,"từ bỏ, vứt bỏ",give up,放弃,TRUE,,
460,味道,wèidao,Danh từ,vị đạo,"mùi vị, vị",smell,味道,TRUE,,
461,口味,kǒuwèi,Danh từ,khẩu vị,"khẩu vị; mùi vị, hương vị",taste,口味,TRUE,,
462,睡不着觉,shuìbuzháo jué,Cụm từ,,không ngủ được,Can't sleep,睡不着觉,TRUE,,
463,对我来说,duì wǒ láishuō,Cụm từ,,Đối với tôi mà nói,for me,对我来说,TRUE,,
464,入睡,rùshuì,Động từ,nhập thụy,"ngủ, đi vào giấc ngủ",Falling asleep,入睡,TRUE,,
465,讨厌,tǎoyàn,Động từ,thảo yếm,"ghét, không thích; đáng ghét (adj)",Hate,讨厌,TRUE,,
466,适合,shìhé,Động từ,thích hợp,"thích hợp, phù hợp + N",Suitable,适合,TRUE,,
467,心事,xīnshì,Danh từ,tâm sự,"tâm sự, nỗi lòng",Heartache,心事,TRUE,,
468,风景,fēngjǐng,Danh từ,phong cảnh,phong cảnh,landscape,风景,TRUE,,
469,樱花,yīnghuā,Danh từ,anh hoa,hoa anh đào,Cherry blossoms,樱花,TRUE,,
470,富士山,fùshìshān,Danh từ,Phú Sĩ Sơn,núi Phú Sĩ,Mount Fuji,富士山,TRUE,,
471,体验,tǐyàn,Động từ,thể nghiệm,trải nghiệm,Experience,体验,TRUE,,
472,美景,měijǐng,Danh từ,mỹ cảnh,cảnh đẹp,Beautiful scenery,美景,TRUE,,
473,来自,láizì,Động từ,lai tự,đến từ,From,来自,TRUE,,
474,散步,sànbù,Động từ,tán bộ,"đi bộ, đi dạo, tản bộ",walk,散步,TRUE,,
475,漫画,mànhuà,Danh từ,mạn họa,truyện tranh,comics,漫画,TRUE,,
