STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
470,无用,wúyòng,,,vô ích,useless,,,
471,找到,zhǎodào,,,"tìm thấy, tìm được",turn up,,,
472,用,yòng,,,sử dụng,use,,,
473,去年,qùnián,,,năm ngoái,last year,,,
474,明年,míngnián,,,năm tới,next year,,,
475,前天,qiántiān,,,hôm kia,The day before yesterday,,,
476,昨天,zuótiān,,,hôm qua,yesterday,,,
477,后天,hòutiān,,,ngày mốt,the day after tomorrow,,,
478,明天,míngtiān,,,ngày mai,tomorrow,,,
479,今天,jīntiān,,,hôm nay,today,,,
480,还没,hái méi,,,vẫn chưa,not yet,,,
481,准备,zhǔnbèi,,,chuẩn bị,Prepare,,,
482,知识,zhīshi,,,"kiến thức, tri thức",Knowledge,,,
483,认真,rènzhēn,,,"chăm chỉ, nghiêm túc",serious,,,
484,床,chuáng,,,cái giường,bed,,,
485,跑步,pǎobù,,,chạy bộ,running,,,
486,运动,yùndòng,,,thể thao,sports,,,
487,游泳,yóuyǒng,,,bơi lội,swim,,,
488,每天,měitiān,,,mỗi ngày,every day,,,
489,音乐,yīnyuè,,,âm nhạc,music,,,
490,出,chū,,,"xuất, ra ngoài",out,,,
491,出租车,chūzūchē,,,taxi,taxi,,,
492,公交车,gōngjiāochē,,,xe buýt,the bus,,,
493,公共汽车,gōnggòngqìchē,,,xe buýt,bus,,,
494,火车,huǒchē,,,xe lửa,train,,,
495,地铁,dìtiě,,,tàu điện ngầm,subway,,,
496,常常,chángcháng,,,"thường xuyên, thường hay",Frequent,,,
497,别人,biéren,,,những người khác,other people,,,
498,奖学金,jiǎngxuéjīn,,,học bổng,scholarship,,,
499,金,jīn,,,"vàng, kim loại vàng (nghĩa bóng chỉ tiền bạc)",gold,,,
500,都,dū,,,"mọi, tất cả; đều",All,,,
501,告诉,gàosu,,,"nói, kể",Tell,,,
502,学院,xuéyuàn,,,học viện,College,,,
503,有名,yǒumíng,,,nổi tiếng,famous,,,
504,最,zuì,,,nhất,most,,,
505,最好,zuìhǎo,,,tốt nhất,most,,,
506,看到,kàndào,,,nhìn thấy,See,,,
507,下车,xiàchē,,,xuống xe,get off,,,
508,上车,shàngchē,,,lên xe,Get on the bus,,,
509,地上,dìshang,,,dưới đất,ground,,,
510,老人,lǎorén,,,"người già, người lớn tuổi",elder,,,
511,过马路,guò mǎlù,,,băng qua đường,Crossing the road,,,
512,小朋友,xiǎopéngyǒu,,,"bạn nhỏ, trẻ em, đứa trẻ con",kid,,,
513,还给,huángěi,,,trả lại,Return,,,
514,送给,sònggěi,,,tặng cho,Give,,,
515,得,dé,,,phải,have to,,,
516,地,dì,,,đất,land,,,
517,的,de,,,của,of,,,
518,作业,zuòyè,,,bài tập,Operation,,,
519,干,gān,,,khô; làm,Dry,,,
520,干净,gānjìng,,,sạch sẽ,clean,,,
521,楼上,lóushàng,,,tầng trên,upstairs,,,
522,楼下,lóuxià,,,tầng dưới,downstairs,,,
523,见面,jiànmiàn,,,gặp mặt,Meet,,,
524,电,diàn,,,điện,electricity,,,
525,做饭,zuòfàn,,,"nấu cơm, nấu ăn",Cook,,,
526,听到,tīngdào,,,nghe thấy,Hear,,,
527,懂,dǒng,,,hiểu,Understand,,,
528,啊,a,,,"a, á (trợ từ ngữ khí)",ah,,,
529,诶,ēi,,,"ê, hêy",Hey,,,
530,走,zǒu,,,đi bộ,Walk,,,
531,已经,yǐjīng,,,"đã, rồi",already,,,
532,每,měi,,,mỗi,Every,,,
533,海,hǎi,,,"biển, đại dương",ocean,,,
534,上海,shànghǎi,,,Thượng Hải,Shanghai,,,
535,丈夫,zhàngfu,,,chồng,husband,,,
536,妻子,qīzi,,,vợ,wife,,,
537,老公,lǎogong,,,chồng,husband,,,
538,老婆,lǎopó,,,vợ,Wife,,,
539,先生,xiānsheng,,,"tiên sinh, ông, ngài, quý ông",gentlemen,,,
540,小姐,xiǎojie,,,"quý cô, quý bà, bà chị",Miss,,,
541,孩子,háizi,,,đứa trẻ,child,,,
542,孩子们,háizi men,,,những đứa trẻ,children,,,
543,姓,xìng,,,họ,surname,,,
544,题,tí,,,câu hỏi,question,,,
545,跳舞,tiàowǔ,,,"khiêu vũ, nhảy",Dance,,,
546,旅游,lǚyóu,,,du lịch,travel,,,
547,游泳,yóuyǒng,,,bơi,swim,,,
548,踢足球,tīzúqiú,,,chơi bóng đá,play soccer,,,
549,打篮球,dǎlánqiú,,,chơi bóng rổ,Playing basketball,,,
550,跑步,pǎobù,,,chạy bộ,running,,,
551,汉字,hànzì,,,Chữ Hán,Chinese character,,,
552,离,lí,,,"cách (bao xa, bao lâu)",Leave,,,
553,离开,líkāi,,,"rời xa, rời khỏi",leave,,,
554,公里,gōnglǐ,,,ki-lô-mét,kilometer,,,
555,公斤,gōngjīn,,,ki-lô-gram,Kilogram,,,
556,出门,chūmén,,,đi ra ngoài,Going out,,,
557,往,wǎng,,,đi về hướng,Past,,,
558,向,xiàng,,,đi về hướng; đối với,Towards,,,
559,门,mén,,,cửa,Door,,,
560,服务,fúwù,,,phục vụ,Serve,,,
561,服务员,fúwùyuán,,,nhân viên phục vụ,waiter,,,
562,欢迎,huānyíng,,,Chào mừng,welcome,,,
563,出去玩儿,chūqù wánr,,,ra ngoài đi chơi,Go out and play,,,
564,电脑游戏,diànnǎoyóuxì,,,trò chơi điện tử (trên máy tính),Computer games,,,
565,过,guò,,,qua; sống; trải qua; vượt qua; từng,Pass,,,
566,两,liǎng,,,hai,two,,,
567,因为,yīnwèi,,,bởi vì,because,,,
568,所以,suǒyǐ,,,"vì thế, vì vậy",so,,,
569,虽然,suīrán,,,mặc dù,Although,,,
570,但是,dànshì,,,nhưng,but,,,
571,故宫,gùgōng,,,"Tử Cấm Thành, Cố Cung",Forbidden City,,,
572,雪,xuě,,,tuyết,Snow,,,
573,下雪,xiàxuě,,,tuyết rơi,snow,,,
574,白雪,báixuě,,,tuyết trắng,Snow White,,,
575,阴,yīn,,,"âm, âm u",Negative,,,
576,阴天,yīntiān,,,ngày nhiều mây,cloudy day,,,
577,晴,qíng,,,"thanh, thông thoáng, nắng thanh",clear,,,
578,晴天,qíngtiān,,,ngày có nắng,sunny,,,
579,希望,xīwàng,,,"hy vọng, mong ",hope,,,
580,可能,kěnéng,,,có thể (dự đoán),possible,,,
581,男,nán,,,"nam giới, con trai, đàn ông",male,,,
582,女,nǚ,,,"nữ giới, con gái, phụ nữ",female,,,
583,市场,shìchǎng,,,cái chợ; thị trường,market,,,
584,礼物,lǐwù,,,món quà,Gift,,,
585,报纸,bàozhǐ,,,báo,newspaper,,,
586,忙,máng,,,bận,busy,,,
587,可以,kěyǐ,,,có thể,Can,,,
588,比较,bǐjiào,,,"khá, tương đối; so với",Compare,,,
589,有点儿,yǒudiǎnr,,,có hơi (nghĩa tiêu cực),kind of,,,
590,手机,shǒujī,,,điện thoại cầm tay,cell phone,,,
591,粉色,fěnsè,,,màu hồng,pink,,,
592,紫色,zǐsè,,,màu tím,Purple,,,
593,蓝色,lánsè,,,màu xanh da trời,blue,,,
594,绿色,lǜsè,,,màu xanh lá,green,,,
595,橙色,chéngsè,,,màu cam,orange color,,,
596,黄色,huángsè,,,màu vàng,yellow,,,
597,毛衣,máoyī,,,áo len,sweater,,,
598,大衣,dàyī,,,áo khoác ngoài,overcoat,,,
599,雨衣,yǔyī,,,áo mưa,raincoat,,,
600,衬衫,chènshān,,,áo sơ mi,shirt,,,
601,裤子,kùzi,,,quần đùi,Pants,,,
602,裙子,qúnzi,,,váy,skirt,,,
603,雨伞,yǔsǎn,,,"cây dù, cái ô",Umbrella,,,
604,件,jiàn,,,"(lượng từ cho công việc, sự việc, quần áo, văn kiện)",Item,,,
605,呢,ne,,,(trợ từ ngữ khí làm diệu ngữ điệu),Woolen cloth,,,
606,就,jiù,,,"thì, là, đã, chính",At once,,,
607,眼睛,yǎnjīng,,,mắt,Eye,,,
608,药,yào,,,thuốc,medicine,,,
609,吃药,chīyào,,,uống thuốc,Taking medicine,,,
610,意思,yìsi,,,"ý nghĩa, có nghĩa là",mean,,,
611,有意思,yǒuyìsi,,,"thú vị, hấp dẫn",interesting,,,
612,有帮助,yǒu bāngzhù,,,"có ích, hữu ích",Helpful,,,
613,帮助,bāngzhù,,,giúp đỡ,help,,,
614,生词,shēngcí,,,từ mới,New words,,,
615,开心,kāixīn,,,vui mừng,happy,,,
616,快乐,kuàilè,,,"vui vẻ, hạnh phúc",hapiness,,,
617,鱼,yú,,,cá,fish,,,
618,鱼肉,yúròu,,,thịt cá,Fish meat,,,
619,苹果,píngguǒ,,,quả táo,apple,,,
620,洗脸,xǐliǎn,,,rửa mặt,Wash face,,,
621,西瓜,xīguā,,,dưa hấu,watermelon,,,
622,洗碗,xǐwǎn,,,rửa bát,do the washing up,,,
623,洗衣服,xǐyīfú,,,giặt đồ,do the laundry,,,
624,洗澡,xǐzǎo,,,tắm rửa,bath,,,
625,完,wán,,,làm xong,over,,,
626,完成,wánchéng,,,hoàn thành,Finish,,,
627,咖啡,kāfēi,,,cà phê,coffee,,,
628,铅笔,qiānbǐ,,,bút chì,pencil,,,
629,宾馆,bīnguǎn,,,khách sạn,Hotel,,,
630,最近,zuìjìn,,,gần đây,recent,,,
631,火车站,huǒchēzhàn,,,ga tàu lửa,TRAIN STATION,,,
632,地铁站,dìtiězhàn,,,ga tàu điện ngầm,metro station,,,
633,让,ràng,,,cho phép,let,,,
634,叫,jiào,,,gọi,Call,,,
