STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
297,控制,kòngzhì,Động từ,,,control,,FALSE,,
298,一整天,yī zhěngtiān,Danh từ,,,All day,,FALSE,,
299,争吵,zhēngchǎo,Động từ,,,quarrel,,FALSE,,
300,原谅,yuánliàng,Động từ,,,forgive,,FALSE,,
301,谅解,liàngjiě,Động từ,,,understanding,,FALSE,,
302,身份证,shēnfèn zhèng,Danh từ,,,ID card,,FALSE,,
303,人身保险,rénshēn bǎoxiǎn,Danh từ,,,Personal insurance,,FALSE,,
304,制造,zhìzào,Động từ,,,manufacture,,,,
305,制作,zhìzuò,Động từ,,,Production,,,,
306,灵活,línghuó,Tính từ,,,flexible,,,,
307,状态,zhuàngtài,Danh từ,,,state,,,,
308,吵闹,chǎonào,Tính từ,,,noisy,,,,
309,选手,xuǎnshǒu,Danh từ,,,contestants,,,,
310,建议,jiànyì,Động từ,,,suggestion,,,,
311,心态,xīntài,Danh từ,,,mindset,,,,
312,调节,tiáojié,Động từ,,,adjust,,,,
313,食物,shíwù,Danh từ,,,food,,,,
314,事物,shìwù,Danh từ,,,thing,,,,
315,失误,shīwù,Danh từ,,,mistake,,,,
316,调整,tiáozhěng,Động từ,,,Adjustment,,,,
317,参与,cānyù,Động từ,,,participate,,,,
318,争论,zhēnglùn,"Danh từ, Động từ",,,debate,,,,
319,出席,chūxí,Động từ,,,Attend,,,,
320,全体代表,quántǐ dàibiǎo,Danh từ,,,All delegates,,,,
321,大会,dàhuì,Danh từ,,,General Assembly,,,,
322,匆忙,cōngmáng,Tính từ,,,hurry,,,,
323,从前,cóngqián,Danh từ,,,Once upon a time,,,,
324,回想,huíxiǎng,Động từ,,,recall,,,,
325,从事,cóngshì,Động từ,,,Engaged in,,,,
326,醋,cù,Danh từ,,,vinegar,,,,
327,粗糙,cūcāo,Tính từ,,,rough,,,,
328,木头,mùtou,Danh từ,,,wood,,,,
329,催,cuī,Động từ,,,urge,,,,
330,存在,cúnzài,Động từ,,,exist,,,,
331,火星,huǒxīng,Danh từ,,,Mars,,,,
332,措施,cuòshī,Danh từ,,,measure,,,,
333,促使,cùshǐ,Động từ,,,prompt,,,,
334,前进,qiánjìn,Động từ,,,go ahead,,,,
335,动力,dònglì,Danh từ,,,power,,,,
336,发达国家,fādá guójiā,Danh từ,,,developed country,,,,
337,发展中国家,fāzhǎnzhōng guójiā,Danh từ,,,developing country,,,,
338,达到,dádào,Động từ,,,achieve,,,,
339,打交道,dǎjiāodào,Động từ,,,Dealing with,,,,
340,大方,dàfāng,Tính từ,,,Generous,,,,
341,大大方方,dàdàfāngfāng,Tính từ,,,Generous,,,,
342,举止,jǔzhǐ,Động từ,,,manner,,,,
343,小气鬼,xiǎoqìguǐ,Danh từ,,,stingy,,,,
344,小气,xiǎoqì,Tính từ,,,mean,,,,
345,打工,dǎgōng,Động từ ly hợp,,,work to earn a living,,,,
346,打工人,dǎgōngrén,Danh từ,,,working people,,,,
347,呆,dāi,"Động từ, Tính từ",,,stay,,,,
348,呆头呆脑,dāitóu dāinǎo,Tính từ,,,Dull-witted,,,,
349,吓呆,xiàdāi,Động từ,,,Terrified,,,,
350,贷款,dàikuǎn,"Động từ, Danh từ",,,loan,,,,
351,一笔贷款,yībǐ dàikuǎn,Danh từ,,,A loan,,,,
352,代表,dàibiǎo,"Danh từ, Động từ",,,represent,,,,
353,合法,héfǎ,Tính từ,,,legitimate,,,,
354,荣幸,róngxìng,Tính từ,,,pleasure,,,,
355,发言,fāyán,Động từ,,,Speech,,,,
356,代替,dàitì,Động từ,,,replace,,,,
357,无法代替,wúfǎ dàitì,Động từ,,,Irreplaceable,,,,
358,淡,dàn,Tính từ,,,light,,,,
359,单纯,dānchún,Tính từ,,,simple,,,,
360,思想,sīxiǎng,Danh từ,,,Thought,,,,
361,单调,dāndiào,Tính từ,,,monotonous,,,,
362,重复,chóngfù,Động từ,,,repeat,,,,
363,挡,dǎng,Động từ,,,block,,,,
364,挡住,dǎngzhù,Động từ,,,Block,,,,
365,当地,dàngdì,Danh từ,,,local,,,,
366,习俗,xísú,Danh từ,,,custom,,,,
367,尊重,zūnzhòng,Động từ,,,respect,,,,
368,遵守,zūnshǒu,Động từ,,,obey,,,,
369,当心,dāngxīn,Động từ,,,Be careful,,,,
370,担任,dānrèn,Động từ,,,Serve as,,,,
371,职务,zhíwù,Danh từ,,,Job,,,,
372,单位,dānwèi,Danh từ,,,unit,,,,
373,耽误,dānwu,Động từ,,,hold up,,,,
374,进度,jìndù,Danh từ,,,schedule,,,,
375,胆小鬼,dǎnxiǎoguǐ,Danh từ,,,coward,,,,
376,单元,dānyuán,Danh từ,,,unit,,,,
377,风格,fēnggé,Danh từ,,,style,,,,
378,建设,jiànshè,Động từ,,,Construction,,,,
379,成就,chéngjiù,"Danh từ, Động từ",,,Achievement,,,,
380,巨大,jùdà,Tính từ,,,huge,,,,
381,成果,chéngguǒ,Danh từ,,,Results,,,,
382,收获,shōuhuò,Động từ,,,Harvest,,,,
383,取得,qǔdé,Động từ,,,Obtain,,,,
384,导演,dǎoyǎn,"Danh từ, Động từ",,,director,,,,
385,倒霉,dǎoméi,Tính từ,,,Unlucky,,,,
386,道理,dàolǐ,Danh từ,,,reason,,,,
387,有道理,yǒudàolǐ,Tính từ,,,That makes sense.,,,,
388,道德,dàodé,Danh từ,,,Morality,,,,
389,到达,dàodá,Động từ,,,arrive,,,,
390,岛屿,dǎoyǔ,Danh từ,,一座岛屿,islands,,,,
391,热带,rèdài,Tính từ,,,tropical,,,,
392,海滩,hǎitān,Danh từ,,,beach,,,,
393,导致,dǎozhì,Động từ,,,lead to,,,,
394,疾病,jíbìng,Danh từ,,,disease,,,,
395,打喷嚏,dǎ pēntì,Động từ,,,sneeze,,,,
396,大厦,dàshà,Danh từ,,,building,,,,
397,大象,dàxiàng,Danh từ,,,elephant,,,,
398,群,qún,Lượng từ,,,group,,,,
399,草原,cǎoyuán,Danh từ,,,grassland,,,,
400,大型,dàxíng,Tính từ,,,Large,,,,
401,答应,dāyìng,Động từ,,,promise,,,,
402,等待,děngdài,Động từ,,,wait,,,,
403,登记,dēngjì,Động từ,,,Registration,,,,
404,前台,qiántái,Danh từ,,,front desk,,,,
405,等于,děngyú,Động từ,,,equal,,,,
406,提前,tíqián,Động từ,,,in advance,,,,
407,做好准备,zuòhǎo zhǔnbèi,Động từ,,,Be prepared,,,,
408,递,dì,Động từ,,,Delivery,,,,
409,一滴水,yī dī shuǐ,Danh từ,,,A drop of water,,,,
410,滴,dī,"Lượng từ, Động từ",,,drop,,,,
411,眼药水,yǎnyào shuǐ,Danh từ,,,eye drops,,,,
412,珍贵,zhēnguì,Động từ,,,precious,,,,
413,电池,diànchí,Danh từ,,一节电池,Battery,,,,
414,电台,diàntái,Danh từ,,,Radio station,,,,
415,点心,diǎnxīn,Danh từ,,,dessert,,,,
416,钓鱼,diàoyú,Động từ,,,fishing,,,,
417,地道,dìdào,Tính từ,,,typical,,,,
418,地理,dìlǐ,Danh từ,,,geography,,,,
419,地区,dìqū,Danh từ,,,area,,,,
420,的确,díquè,Phó từ,,,indeed,,,,
421,敌人,dírén,Danh từ,,,enemy,,,,
422,打败,dǎbài,Động từ,,,defeat,,,,
423,地毯,dìtǎn,Danh từ,,一张地毯,carpet,,,,
424,地位,dìwèi,Danh từ,,,status,,,,
425,平等,píngděng,Tính từ,,,equality,,,,
426,地震,dìzhèn,Danh từ,,,earthquake,,,,
427,强烈,qiángliè,Tính từ,,,strong,,,,
428,洞,dòng,Danh từ,,,Hole,,,,
429,山洞,shāndòng,Danh từ,,,cave,,,,
430,冻,dòng,Động từ,,,freeze,,,,
431,医学,yīxué,Danh từ,,,medicine,,,,
432,重大,zhòngdà,Tính từ,,,major,,,,
433,治疗,zhìliáo,Động từ,,,treat,,,,
434,持续,chíxù,Động từ,trì tục,"duy trì, kéo dài, tiếp tục, tiếp diễn",continued,,,,
435,可持续,kěchíxù,Tính từ,khả trì tục,"bền vững, duy trì lâu dài",Sustainable,,,,
436,连续,liánxù,Động từ,liên tục,"liên tục, liên tiếp",continuous,,,,
437,陆续,lùxù,Phó từ,lục tục,"lần lượt, lũ lượt, liên tiếp",one after another,,,,
438,动画片,dònghuàpiàn,Danh từ,động họa phiến,phim hoạt hình,cartoon,,,,
439,逗,dòu,"Động từ, Tính từ",đậu,"(v): đùa, chọc, giỡn, trêu; (adj): buồn cười, thú vị, hài hước",tease,,,,
440,豆腐,dòufu,Danh từ,đậu phụ,đậu phụ,Tofu,,,,
441,断,duàn,Động từ,đoạn,"cắt đứt, đứt, dứt, ngừng, ngắt",Broken,,,,
442,打断,dǎduàn,Động từ,đả đoạn,"cắt lời, ngắt lời",interrupt,,,,
443,度过,dùguò,Động từ,độ quá,"trải qua, vượt qua",Spend,,,,
444,对比,duìbǐ,"Động từ, Danh từ",đối tỷ,"(v): so sánh; (n): tỷ lệ, sự so sánh, đối chiếu",contrast,,,,
445,对待,duìdài,Động từ,đối đãi,"đối đãi, đối xử, cư xử",treat,,,,
446,对方,duìfāng,Danh từ,đối phương,"đối phương, người kia",other side,,,,
447,兑换,duìhuàn,Động từ,đoái hoán,"đổi, chuyển đổi, hối đoái (tiền tệ)",exchange,,,,
448,对手,duìshǒu,Danh từ,đối thủ,đối thủ,opponent,,,只有我们公司有这种技术，我们根本没有竞争对手。,
449,对象,duìxiàng,Danh từ,đối tượng,đối tượng,object,,,,
450,独立,dúlì,Động từ,độc lập,"độc lập, tự lập, tách ra, không phụ thuộc",independent,,,,
451,顿,dùn,Lượng từ,đốn,"bữa, bữa ăn; hồi, trận",Dun,,,,
452,蹲,dūn,Động từ,tồn,"ngồi xổm, ngồi chồm hổm （蹲下）",squat,,,,
453,吨,dūn,Lượng từ,đốn,tấn (1000kg),ton,,,,
454,朵,duǒ,Lượng từ,đoá,"đóa (hoa), đám mây",Duo,,,,
455,躲藏,duǒcáng,Động từ,đóa tàng,trốn; trốn tránh; ẩn núp; ẩn náu; lẩn quất; cất lén,hide,,,他多藏在门后，刚开始时我们没看到，后来才发现。,
456,多余,duōyú,Tính từ,đa dư,"dư, thừa, dư thừa",Redundant,,,,
457,独特,dútè,Tính từ,độc đặc,"độc đáo, đặc biệt, riêng biệt",unique,,,,
458,风格,fēnggé,Danh từ,phong cách,phong cách,style,,,,
459,恶劣,èliè,Tính từ,ác liệt,"khắc nghiệt, tồi tệ, xấu xa",bad,,,,
460,恶劣影响,èliè yǐngxiǎng,Động từ,ác liệt ảnh hưởng,"ảnh hưởng tồi tệ, ảnh hưởng xấu",adverse effects,,,,
461,环境恶劣,huánjìng èliè,Danh từ,hoàn cảnh ác liệt,môi trường khắc nghiệt,Harsh environment,,,,
462,性质恶劣,xìngzhì èliè,Danh từ,tính chất ác liệt,tính chất xấu xa,Hazardous,,,,
463,手段,shǒuduàn,Danh từ,thủ đoạn,thủ đoạn,means,,,,
464,耳环,ěrhuán,Danh từ,nhĩ hoàn,"khuyên tai, bông tai",earrings,,,,
465,发愁,fāchóu,"Động từ, Động từ ly hợp",phát sầu,"lo lắng, lo âu, buồn phiền, ưu tư, buồn rầu",worry,,,,
466,期末考试,qīmò kǎoshì,Danh từ,kì mạt khảo thí,"kì thi cuối kì, kiểm tra cuối kì",Final Exam,,,,
467,奖学金,jiǎngxuéjīn,Danh từ,tưởng học kim,học bổng,scholarship,,,,
468,发表,fābiǎo,Động từ,phát biểu,"phát biểu, tuyên bố, bày tỏ",Publish,,,关于这个问题，大家都陆续发表了自己的意见。,
469,发抖,fādǒu,Động từ,phát đẩu,"run, run rẩy, run lên",trembling,,,,
470,发挥,fāhuī,Động từ,phát huy,"phát huy, thể hiện",Play,,,吃药三十分钟之后才开始发挥作用。,
471,优势,yōushì,Danh từ,ưu thế,"ưu thế, lợi thế, thế mạnh, ưu điểm, điểm mạnh",Advantages,,,,
472,罚款,fákuǎn,"Danh từ, Động từ",phạt khoản,(n): tiền phạt; (v): phạt tiền,fine,,,酒后开车要被罚款。,
473,发明,fāmíng,"Danh từ, Động từ",phát minh,phát minh,invention,,,,
474,翻,fān,Động từ,phiên,"lật, lật đổ, lục lọi",turn,,,,
475,推翻,tuīfān,Động từ,thôi phiên,"lật đổ, đạp đổ, bác bỏ",overthrow,,,,
476,方,fāng,"Tính từ, Danh từ",phương,"(adj): vuông, (n): phe, phía, bên, vùng",square,,,,
477,方形,fāngxíng,Danh từ,phương hình,hình vuông,square,,,,
478,我方,wǒfāng,Danh từ,ngã phương,"phía chúng tôi, bên chúng tôi",Our side,,,,
479,妨碍,fáng'ài,Động từ,phương ngại,"cản trở, gây ảnh hưởng, gây trở ngại",Obstacles,,,,
480,改进,gǎijìn,Động từ,cải tiến,"cải tiến, nâng cấp",improve,,,,
481,胜利,shènglì,Động từ,thắng lợi,"thắng lợi, chiến thắng",victory,,,,
482,交接,jiāojiē,Động từ,giao tiếp,"nối nhau, giao nhau; bàn giao, giao nhận; kết giao, kết thân",handover,,,,
483,领导权,lǐngdǎoquán,Danh từ,lĩnh đạo quyền,"quyền hành lãnh đạo, quyền điều hành",Leadership,,,,
484,郑重,zhèngzhòng,Tính từ,trịnh trọng,"nghiêm túc, trịnh trọng",Solemn,,,,
485,流程,liúchéng,Danh từ,lưu trình,"quy trình, lưu trình; dòng chảy, dòng nước",process,,,,
486,原则,yuánzé,Danh từ,nguyên tắc,nguyên tắc,in principle,,,,
487,增大,zēngdà,Động từ,tăng đại,"tăng lên, làm to, khuếch đại",Increase,,,,
488,再三,zàisān,Phó từ,tái tam ,nhiều lần; liên tục; hết lần này đến lần khác,repeatedly,,,,
489,隧道,suìdào,Danh từ,toại đạo,đường hầm,tunnel,,,,
490,强调,qiángdiào,Động từ,cường điệu,"nhấn mạnh, cường điệu",emphasize,,,,
491,反复,fǎnfù,"Động từ, Phó từ",phản phục,"(động từ): thay đổi, lật lọng, nuốt lời; lặp lại, tái phát, tái diễn; (phó từ): liên tục, nhiều lần, lặp đi lặp lại, hết lần này đến lần khác",repeatedly,,,,
492,重复,chóngfù,Động từ,trùng phục,"lặp lại, trùng lặp, nhắc lại, bắt chước",repeat,,,,
493,删除,shānchú,Động từ,san trừ,"xóa, loại bỏ, vứt bỏ",delete,,,,
494,方案,fāng'àn,Danh từ,phương án,"kế hoạch, phương án",plan,,,,
495,采用,cǎiyòng,Động từ,thải dụng,áp dụng,use,,,,
496,开发,kāifā,Động từ,khai phát,mở rộng; khai phá; khai thác; phát triển,Development,,,,
497,仿佛,fǎngfú,Phó từ,phảng phất,"hình như, dường như, có vẻ",as if,,,,
498,繁荣,fánróng,Tính từ,phồn vinh,"phồn thịnh, phồn vinh, phát triển mạnh",Prosperity,,,,
499,繁荣富强,fánróng fùqiáng,Thành ngữ,phồn vinh phú cường,"phồn vinh thịnh vượng, giàu có lớn mạnh (nói về quốc gia)",Prosperity and strength,,,,
500,范围,fànwéi,Danh từ,phạm vi,phạm vi,scope,,,,
501,反正,fǎnzhèng,Phó từ,phản chính,"cho dù, dù sao thì, dù sao cũng, dù thế nào thì cũng (dùng để chỉ kết quả như nhau bất chấp các tình huống khác nhau)",Anyway,,,,
502,发票,fāpiào,Danh từ,phát phiếu,hóa đơn,bill,,,,
503,法院,fǎyuàn,Danh từ,pháp viện,tòa án,court,,,,
504,最高法院,zuìgāo fǎyuàn,Danh từ,tối cao pháp viện,tòa án tối cao,Supreme Court,,,,
505,案件,ànjiàn,Danh từ,án kiện,"vụ án, án kiện",case,,,,
506,法律效力,fǎlǜ xiàolì,Danh từ,pháp luật hiệu lực,hiệu lực pháp lý,Legal effect,,,,
507,废话,fèihuà,Danh từ,phế thoại,"lời thừa, lời nói nhảm",nonsense,,,,
508,肥皂,féizào,Danh từ,phì tạo,"xà phòng, xà bông (lượng từ:  块 kuài)",Soap,,,,
509,手工,shǒugōng,Danh từ,thủ công,"thủ công, làm bằng tay",manual,,,,
510,分布,fēnbù,Động từ,phân bố,phân bố,distributed,,,,
511,均匀,jūnyún,Tính từ,quân quân,"đồng đều, đều đều",uniform,,,,
512,奋斗,fèndòu,Động từ,phấn đấu,"phấn đấu, nỗ lực",struggle,,,,
513,实现,shíxiàn,Động từ,thực hiện,thực hiện,accomplish,,,,
514,讽刺,fěngcì,Động từ,phúng thứ,"châm biếm, mỉa mai, trào phúng",Satire,,,,
515,建筑,jiànzhù,Danh từ,kiến trúc,kiến trúc,architecture,,,,
516,结合,jiéhé,Động từ,kết hợp,kết hợp,Combination,,,,
517,元素,yuánsù,Danh từ,nguyên tố,(hóa học): nguyên tố; yếu tố,element,,,,
518,拍摄,pāishè,Động từ,phách nhiếp,"chụp hình, chụp ảnh",Shooting,,,,
519,疯狂,fēngkuáng,Tính từ,phong cuồng,"điên khùng, điên khùng, phát điên",crazy,,,,
520,风俗,fēngsú,Danh từ,phong tục,"phong tục, tục lệ",custom,,,,
521,风险,fēngxiǎn,Danh từ,phong hiểm,"sự mạo hiểm, sự nguy hiểm, rủi ro, nguy cơ",risk,,,,
522,分配,fēnpèi,Động từ,phân phối,"phân chia, phân phát; phân bổ, bố trí, phân công",distribute,,,,
523,分析,fēnxī,Động từ,phân tích,phân tích,analyze,,,,
524,趋势,qūshì,Danh từ,xu thế,"xu thế, xu hướng, khuynh hướng",trend,,,,
525,数据分析,shùjù fēnxī,Danh từ,số cứ phân tích,phân tích dữ liệu,Data Analysis,,,,
526,幅,fú,Lượng từ,phúc,"tấm, bức, miếng (chỉ tranh vẽ, vải vóc)",frame,,,,
527,扶,fú,Động từ,phù,"đỡ, nâng, vịn",,,,,
528,辅导,fǔdǎo,Động từ,phụ đạo,"phụ đạo, hướng dẫn",,,,,
529,妇女,fùnǚ,Danh từ,phụ nữ,"phụ nữ, đàn bà",,,,,
530,复制,fùzhì,Động từ,phục chế,"copy, sao chép",,,,,
531,服装,fúzhuāng,Danh từ,phục trang,trang phục,,,,,
532,盖,gài,Động từ,cái,"đậy, đắp, xây (nhà); đóng dấu",,,,,
533,概括,gàikuò,"Động từ, Tính từ",khái quát,"(v): khái quát, tóm tắt; (adj): ngắn gọn, đơn giản",,,,,
534,规律,guīlǜ,Danh từ,quy luật,quy luật,,,,,
535, 概念,gàiniàn,Danh từ,khái niệm,khái niệm,,,,,
536,干活儿,gànhuór,Động từ,cán hoạt nhi,"làm việc, lao động",,,,,
537,台风,táifēng,Động từ,xúc tiến,"xúc tiến, đẩy mạnh, thúc đẩy phát triển",,,,,
538,促进,cùjìn,Động từ,xúc tiến,"xúc tiến, đẩy mạnh, thúc đẩy phát triển",,,,,
