STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
498,奖学金,jiǎngxuéjīn,,,học bổng,scholarship,,,
499,金,jīn,,,vàng,gold,,,
500,都,dū,,,Tất cả,All,,,
501,告诉,gàosu,,,Kể,Tell,,,
502,学院,xuéyuàn,,,Trường cao đẳng,College,,,
503,又名,yòumíng,,,Còn được biết đến với tên gọi,Also known as,,,
504,最,zuì,,,hầu hết,most,,,
505,最好,zuìhǎo,,,hầu hết,most,,,
506,看到,kàndào,,,Nhìn thấy,See,,,
507,下车,xiàchē,,,rời đi,get off,,,
508,上车,shàngchē,,,Lên xe buýt,Get on the bus,,,
509,地上,dìshang,,,đất,ground,,,
510,老人,lǎorén,,,trưởng lão,elder,,,
511,过马路,guò mǎlù,,,Băng qua đường,Crossing the road,,,
512,小朋友,xiǎopéngyǒu,,,đứa trẻ,kid,,,
513,还给,huángěi,,,Trở lại,Return,,,
514,送给,sònggěi,,,Đưa cho,Give,,,
515,得,dé,,,phải,have to,,,
516,地,dì,,,đất,land,,,
517,的,de,,,của,of,,,
518,作业,zuòyè,,,Hoạt động,Operation,,,
519,干,gān,,,Khô,Dry,,,
520,干净,gānjìng,,,lau dọn,clean,,,
521,楼上,lóushàng,,,tầng trên,upstairs,,,
522,楼下,lóuxià,,,tầng dưới,downstairs,,,
523,见面,jiànmiàn,,,Gặp,Meet,,,
524,电,diàn,,,điện,electricity,,,
525,做饭,zuòfàn,,,Đầu bếp,Cook,,,
526,听到,tīngdào,,,Nghe,Hear,,,
527,懂,dǒng,,,Hiểu,Understand,,,
528,啊,a,,,à,ah,,,
529,诶,ēi,,,Chào,Hey,,,
530,走,zǒu,,,Đi bộ,Walk,,,
531,已经,yǐjīng,,,đã,already,,,
532,每,měi,,,Mọi,Every,,,
533,海,hǎi,,,đại dương,ocean,,,
534,上海,shànghǎi,,,Thượng Hải,Shanghai,,,
535,丈夫,zhàngfu,,,chồng,husband,,,
536,妻子,qīzi,,,vợ,wife,,,
537,老公,lǎogong,,,chồng,husband,,,
538,老婆,lǎopó,,,Vợ,Wife,,,
539,先生,xiānsheng,,,thưa quý ông,gentlemen,,,
540,小姐,xiǎojie,,,Cô,Miss,,,
541,孩子,háizi,,,đứa trẻ,child,,,
542,孩子们,háizi men,,,những đứa trẻ,children,,,
543,姓,xìng,,,họ,surname,,,
544,题,tí,,,câu hỏi,question,,,
545,跳舞,tiàowǔ,,,Nhảy,Dance,,,
546,旅游,lǚyóu,,,du lịch,travel,,,
547,游泳,yóuyǒng,,,bơi,swim,,,
548,踢足球,tīzúqiú,,,chơi bóng đá,play soccer,,,
549,打篮球,dǎlánqiú,,,Chơi bóng rổ,Playing basketball,,,
550,跑步,pǎobù,,,đang chạy,running,,,
551,汉字,hànzì,,,Chữ Hán,Chinese character,,,
552,离,lí,,,Rời khỏi,Leave,,,
553,离开,líkāi,,,rời khỏi,leave,,,
554,公里,gōnglǐ,,,ki-lô-mét,kilometer,,,
555,公斤,gōngjīn,,,Kilogram,Kilogram,,,
556,出门,chūmén,,,Đi ra ngoài,Going out,,,
557,往,wǎng,,,Quá khứ,Past,,,
558,向,xiàng,,,Đối với,Towards,,,
559,门,mén,,,Cửa,Door,,,
560,服务,fúwù,,,Phục vụ,Serve,,,
561,服务员,fúwùyuán,,,phục vụ nam,waiter,,,
562,欢迎,huānyíng,,,Chào mừng,welcome,,,
563,出去玩儿,chūqù wánr,,,Ra ngoài chơi nào!,Go out and play,,,
564,电脑游戏,diànnǎoyóuxì,,,Trò chơi máy tính,Computer games,,,
565,过,guò,,,Vượt qua,Pass,,,
566,两,liǎng,,,hai,two,,,
567,因为,yīnwèi,,,bởi vì,because,,,
568,所以,suǒyǐ,,,Vì thế,so,,,
569,虽然,suīrán,,,Mặc dù,Although,,,
570,但是,dànshì,,,Nhưng,but,,,
571,故宫,gùgōng,,,Tử Cấm Thành,Forbidden City,,,
572,雪,xuě,,,Tuyết,Snow,,,
573,下雪,xiàxuě,,,tuyết,snow,,,
574,白雪,báixuě,,,Bạch Tuyết,Snow White,,,
575,阴,yīn,,,Tiêu cực,Negative,,,
576,阴天,yīntiān,,,ngày nhiều mây,cloudy day,,,
577,晴,qíng,,,thông thoáng,clear,,,
578,晴天,qíngtiān,,,nhiều nắng,sunny,,,
579,希望,xīwàng,,,mong,hope,,,
580,可能,kěnéng,,,khả thi,possible,,,
581,男,nán,,,nam giới,male,,,
582,女,nǚ,,,nữ giới,female,,,
583,市场,shìchǎng,,,chợ,market,,,
584,礼物,lǐwù,,,Quà,Gift,,,
585,报纸,bàozhǐ,,,báo,newspaper,,,
586,忙,máng,,,bận,busy,,,
587,可以,kěyǐ,,,Có thể,Can,,,
588,比较,bǐjiào,,,So sánh,Compare,,,
589,有点儿,yǒudiǎnr,,,kiểu như,kind of,,,
590,手机,shǒujī,,,điện thoại di động,cell phone,,,
591,粉色,fěnsè,,,hồng,pink,,,
592,紫色,zǐsè,,,Màu tím,Purple,,,
593,蓝色,lánsè,,,màu xanh da trời,blue,,,
594,绿色,lǜsè,,,màu xanh lá,green,,,
595,橙色,chéngsè,,,màu cam,orange color,,,
596,黄色,huángsè,,,màu vàng,yellow,,,
597,毛衣,máoyī,,,áo len,sweater,,,
598,大衣,dàyī,,,áo khoác ngoài,overcoat,,,
599,雨衣,yǔyī,,,áo mưa,raincoat,,,
600,衬衫,chènshān,,,áo sơ mi,shirt,,,
601,裤子,kùzi,,,Quần dài,Pants,,,
602,裙子,qúnzi,,,váy ngắn,skirt,,,
603,雨伞,yǔsǎn,,,Chiếc ô,Umbrella,,,
604,件,jiàn,,,Mục,Item,,,
605,呢,ne,,,Vải len,Woolen cloth,,,
606,就,jiù,,,Ngay lập tức,At once,,,
607,眼睛,yǎnjīng,,,Mắt,Eye,,,
608,药,yào,,,thuốc,medicine,,,
609,吃药,chīyào,,,Uống thuốc,Taking medicine,,,
610,意思,yìsi,,,nghĩa là,mean,,,
611,有意思,yǒuyìsi,,,hấp dẫn,interesting,,,
612,有帮助,yǒu bāngzhù,,,Hữu ích,Helpful,,,
613,帮助,bāngzhù,,,giúp đỡ,help,,,
614,生词,shēngcí,,,Từ mới,New words,,,
615,开心,kāixīn,,,vui mừng,happy,,,
616,快乐,kuàilè,,,hạnh phúc,hapiness,,,
617,鱼,yú,,,cá,fish,,,
618,鱼肉,yúròu,,,Thịt cá,Fish meat,,,
619,苹果,píngguǒ,,,quả táo,apple,,,
620,洗脸,xǐliǎn,,,Rửa mặt,Wash face,,,
621,西瓜,xīguā,,,dưa hấu,watermelon,,,
622,洗碗,xǐwǎn,,,rửa bát,do the washing up,,,
623,洗衣服,xǐyīfú,,,giặt giũ,do the laundry,,,
624,洗澡,xǐzǎo,,,bồn tắm,bath,,,
625,完,wán,,,qua,over,,,
626,完成,wánchéng,,,Hoàn thành,Finish,,,
627,咖啡,kāfēi,,,cà phê,coffee,,,
628,铅笔,qiānbǐ,,,bút chì,pencil,,,
629,宾馆,bīnguǎn,,,Khách sạn,Hotel,,,
630,最近,zuìjìn,,,gần đây,recent,,,
631,火车站,huǒchēzhàn,,,GA TÀU,TRAIN STATION,,,
632,地铁站,dìtiězhàn,,,ga tàu điện ngầm,metro station,,,
633,让,ràng,,,cho phép,let,,,
634,叫,jiào,,,Gọi,Call,,,
