STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
535,加重,jiāzhòng,Động từ,GIA TRỌNG,"tăng thêm, nặng thêm, trở nặng (bệnh tình)",aggravated,加重,TRUE,他的病越来越加重，让我特别担心，希望他会好上来。,"Tình trạng sức khỏe của anh ấy ngày càng xấu đi, điều này khiến tôi rất lo lắng. Tôi hy vọng anh ấy sẽ sớm khỏe lại."
536,树木,shùmù,Danh từ,THỤ MỘC,cây cối,Trees,树木,TRUE,我喜欢早上在公园散步，欣赏自然的声音，花草和树木。,"Tôi thích đi dạo trong công viên vào buổi sáng và tận hưởng âm thanh của thiên nhiên, hương thơm của hoa và cây cối."
537,保持,bǎochí,Động từ,BẢO TRÌ,"giữ, duy trì",Keep,保持,TRUE,保持一个好习惯需要长时间坚持。,Duy trì một thói quen tốt đòi hỏi sự kiên trì lâu dài.
538,收到,shōudào,Động từ,THU ĐÁO,"nhận được, tiếp nhận",receive,收到,TRUE,这本小说收到了很多人的支持。,Cuốn tiểu thuyết này đã nhận được rất nhiều sự ủng hộ.
539,意外,yìwài,"Danh từ, Tính từ",Ý NGOẠI,"sự cố, điều bất trắc, tai nạn; bất ngờ, không ngờ, ngoài dự đoán",Accident,意外,TRUE,请注意安全，我不想发生任何意外。,"Hãy cẩn thận nhé, tôi không muốn có chuyện gì xảy ra."
540,注册,zhùcè,Động từ,CHÚ SÁCH,"đăng ký, ghi tên",register,注册,TRUE,如果你想参加比赛，就必须按时注册。,"Nếu muốn tham gia cuộc thi, bạn phải đăng ký đúng thời hạn."
541,陌生人,mòshēngrén,Danh từ,MẠCH SINH NHÂN,"người lạ, người không quen biết",stranger,陌生人,TRUE,我不认识他，他是陌生人。,Tôi không quen biết anh ta; anh ta là người lạ.
542,商品,shāngpǐn,Danh từ,THƯƠNG PHẨM,"sản phẩm, hàng hóa",commodity,商品,TRUE,买商品时，我妈妈都会先考虑价格合适不合适。,"Khi mua đồ, mẹ tôi luôn xem xét giá cả trước tiên."
543,说一声,shuō yīshēng,Động từ ly hợp,THUYẾT NHẤT THANH,"nói một tiếng, nói một lời",Say a word,说一声,TRUE,出去玩儿前，跟妈妈说一声，否则她会担心。,"Hãy báo với mẹ trước khi ra ngoài chơi, nếu không mẹ sẽ lo lắng."
544,有空儿,yǒu kòngr,Động từ,HỮU KHÔNG NHI,"rảnh, có thời gian",When you have time,有空儿,TRUE,你今天有空儿吗？跟我一起打羽毛球吧。,Hôm nay bạn rảnh không? Cùng chơi cầu lông nhé.
545,报名,bàomíng,Động từ ly hợp,BÁO DANH,"đăng ký (tham gia), ghi tên, ghi danh",Sign up,报名,TRUE,你报名参加那个足球比赛吗？,Bạn có ghi danh tham gia trận đấu bóng đá đó không?
546,第一名,dìyīmíng,Danh từ,ĐỆ NHẤT DANH,"quán quân, hạng nhất, giải nhất",First place,第一名,TRUE,我一定会在这次比赛得到第一名。,Tôi nhất định sẽ giành lấy giải nhất trong cuộc thi lần này.
547,得,dé/dei3,Động từ,ĐẮC,đạt được (dé); phải làm gì đó (dei3),have to,得,TRUE,今天我得打扫房间。,Hôm nay tôi phải dọn dẹp phòng.
548,申请,shēnqǐng,"Động từ, Danh từ",THÂN THỈNH,"xin, nộp đơn (apply for); đơn, đơn xin",Apply,申请,TRUE,他决定申请奖学金。,Anh ấy quyết định nộp đơn xin học bổng.
549,生意,shēngyi,Danh từ,SINH Ý,"việc buôn bán, chuyện làm ăn, kinh doanh",Business,生意,TRUE,你最近的生意顺利吗？,Dạo này công việc kinh doanh của bạn thế nào?
550,提前,tíqián,"Động từ, Phó từ",ĐỀ TIỀN,"sớm, trước giờ, trước thời hạn (hoàn thành nhiệm vụ, kế hoạch, bài tập... sớm hơn deadline người ta giao cho)",in advance,提前,TRUE,今天下午的会议提前进行一个小时，改在两点开。,Cuộc họp chiều nay đã được dời lên sớm hơn một tiếng và bắt đầu lúc 2 giờ chiều.
551,优秀,yōuxiù,Tính từ,ƯU TÚ,"ưu tú, xuất sắc",excellent,优秀,TRUE,学校里有很多优秀的学生，他们的成绩非常好。,Trường có rất nhiều học sinh xuất sắc với thành tích học tập vượt trội.
552,照,zhào,Động từ,CHIẾU,"chụp, quay (phim, ảnh); chiếu, soi",According to,照,TRUE,你可以帮我照张照片吗？,Bạn có thể giúp tôi chụp một bức ảnh không?
553,赚,zhuàn,Động từ,TRÁM,kiếm (tiền...),earn,赚,TRUE,他靠自己的努力赚了很多钱。,Anh ấy đã kiếm được rất nhiều tiền nhờ chính nỗ lực của mình.
554,整理,zhěnglǐ,Động từ,CHỈNH LÝ,"chỉnh, sắp xếp, thu dọn, chỉnh lý, chỉnh đốn",tidy,整理,TRUE,他很认真，复习笔记整理得很详细。,"Cậu ấy rất nghiêm túc, vở ôn tập sắp xếp rất chi tiết."
555,邮箱,yóuxiāng,Danh từ,BƯU TƯƠNG,"hòm thư, hộp thư, email",Mail,邮箱,TRUE,把你的邮箱地址告诉我，我马上整理照片发给你。,Hãy cho tôi địa chỉ email của bạn và tôi sẽ sắp xếp ảnh rồi gửi cho bạn ngay lập tức.
556,荣幸,róngxìng,Tính từ,VINH HẠNH,"vinh hạnh, vinh dự, hân hạnh",pleasure,荣幸,TRUE,我从网上看到的招聘信息，对贵公司非常感兴趣，所以很荣幸有这次面试机会。,"Tôi thấy thông báo tuyển dụng trực tuyến và rất quan tâm đến công ty của bạn, vì vậy tôi rất vinh dự khi có cơ hội phỏng vấn này."
557,职位,zhíwèi,Danh từ,CHỨC VỊ,"vị trí, chức vị, chức danh",Position,职位,TRUE,无论你应聘什么职位，在招聘过程中，你都要展示你的能力。这样他们才知道你有没有符合他们公司的要求。,"Bất kể bạn đang ứng tuyển vào vị trí nào, bạn cần thể hiện khả năng của mình trong quá trình tuyển dụng. Bằng cách này, họ sẽ biết liệu bạn có đáp ứng được yêu cầu của công ty họ hay không."
558,过程,guòchéng,Danh từ,QUÁ TRÌNH,quá trình,process,过程,TRUE,无论你应聘什么职位，在招聘过程中，你都要展示你的能力。这样他们才知道你有没有符合他们公司的要求。,"Bất kể bạn đang ứng tuyển vào vị trí nào, bạn cần thể hiện khả năng của mình trong quá trình tuyển dụng. Bằng cách này, họ sẽ biết liệu bạn có đáp ứng được yêu cầu của công ty họ hay không."
559,展示,zhǎnshì,Động từ,TRIỂN THỊ,"thể hiện, phô diễn, bày ra, trưng bày",exhibit,展示,TRUE,无论你应聘什么职位，在招聘过程中，你都要展示你的能力。这样他们才知道你有没有符合他们公司的要求。,"Bất kể bạn đang ứng tuyển vào vị trí nào, bạn cần thể hiện khả năng của mình trong quá trình tuyển dụng. Bằng cách này, họ sẽ biết liệu bạn có đáp ứng được yêu cầu của công ty họ hay không."
560,按照,ànzhào,Giới từ,ÁN CHIẾU,"theo, dựa theo, căn cứ vào (chiếu theo,  căn cứ vào một tiêu chí, quy định, điều kiện hay tiêu chuẩn nào đó) /ànzhào + N/",according to,按照,TRUE,请按照这个材料选择主要的内容。,Vui lòng chọn nội dung chính dựa trên tài liệu này.
561,根据,gēnjù,"Giới từ, Danh từ, Động từ",CĂN CỨ,"căn cứ, dựa vào (dựa trên cơ sở, bằng chứng quan điểm, lí do để đưa ra phán đoán, kết luận); (danh từ): căn cứ, chứng cứ",according to,根据,TRUE,根据我的旅行经验，你一个月只带那么点儿钱是不够的。,"Theo kinh nghiệm du lịch của tôi, bạn chỉ mang một ít tiền như thế trong một tháng là không đủ."
562,公交车,gōngjiāochē,Danh từ,CÔNG GIAO XA,xe buýt,the bus,公交车,TRUE,坐公交车上课很方便，也很便宜。,Đi xe buýt đến lớp rất tiện lợi và tiết kiệm.
563,预习,yùxí,Động từ,DỰ TẬP,"chuẩn bị trước, xem trước, chuẩn bị bài (bài vở)",Preview,预习,TRUE,老师告诉我们上课前要预习。,Cô giáo dặn chúng tôi xem trước tài liệu trước khi vào lớp.
564,电饭锅,diànfànguō,Danh từ,ĐIỆN PHẠN OA,nồi cơm điện,rice cooker,电饭锅,TRUE,他都是二十岁了，很懒，连电饭锅也不知道怎么用。,"Anh ta đã hai mươi tuổi, rất lười biếng, thậm chí còn không biết cách dùng nồi cơm điện."
565,放弃,fàngqì,Động từ,PHÓNG KHÍ,"từ bỏ, vứt bỏ, bỏ cuộc, buông bỏ",give up,放弃,TRUE,遇到困难时，不要放弃。我们先要冷静下来，然后找办法来解决。,"Khi gặp khó khăn, đừng bỏ cuộc. Trước tiên, chúng ta nên bình tĩnh lại rồi mới tìm giải pháp."
566,自信,zìxìn,"Động từ, Tính từ, Danh từ",TỰ TÍN,tự tin; sự tự tin,confidence,自信,TRUE,考试的时候，自信是很重要的，帮你完成问题。,Sự tự tin rất quan trọng trong các kỳ thi; nó sẽ giúp bạn trả lời các câu hỏi.
567,本地,běndì,Danh từ,BẢN ĐỊA,"bản địa, bản xứ, dân địa phương",local,本地,TRUE,我还以为他是北京人，因为他的普通话得跟本地人差不多。,Tôi vẫn cứ tưởng anh ấy là người Bắc Kinh bởi vì anh ấy nói tiếng Phổ thông hay gần như y chang người bản địa.
568,根本,gēnběn,"Danh từ, Tính từ, Phó từ",CĂN BẢN,"(n): căn bản, gốc rễ, cốt lõi; (adj): chính, chủ yếu, quan trọng; (adv): căn bản, trước giờ; hoàn toàn, triệt để",fundamental,根本,TRUE,这个问题根本是环境问题，我们应该根据周围环境的条件来解决。,"Về bản chất, đây là một vấn đề môi trường, và chúng ta nên giải quyết nó dựa trên điều kiện của môi trường xung quanh."
569,夫妻,fūqī,Danh từ,PHU THÊ,"phu thê, vợ chồng",couple,夫妻,TRUE,他们的关系是夫妻，不是同事。,"Mối quan hệ của họ là vợ chồng, chứ không phải đồng nghiệp."
570,注重,zhùzhòng,Động từ,CHÚ TRỌNG,"chú trọng, coi trọng",Pay attention to,注重,TRUE,对注重商品质量的顾客来说，价格没什么问题，最重要的是质量。,"Đối với những khách hàng coi trọng chất lượng sản phẩm, giá cả không phải là vấn đề; điều quan trọng nhất là chất lượng."
571,品尝,pǐncháng,Động từ,PHẨM THƯỜNG,"nếm thử, thưởng thức",taste,品尝,TRUE,我喜欢来日本旅行以为我可以品尝很多特色的菜。,Tôi thích đi du lịch Nhật Bản vì ở đó tôi có thể thử nhiều món ăn độc đáo.
572,方式,fāngshì,Danh từ,PHƯƠNG THỨC,"phương thức, cách thức, kiểu, cách",Way,方式,TRUE,这个作家写的方式真的吸引我。,Cách viết của tác giả này thực sự cuốn hút tôi.
573,年底,niándǐ,Danh từ,NIÊN ĐỂ,"cuối năm, những ngày cuối năm",End of year,年底,TRUE,公司年底有很多事，我们要努力完成才能休息。,"Cuối năm có rất nhiều việc cần làm, và chúng ta cần phải nỗ lực hết sức để hoàn thành mọi việc trước khi có thể nghỉ ngơi."
574,月底,yuèdǐ,Danh từ,NGUYỆT ĐỂ,cuối tháng,End of month,月底,TRUE,现在我最希望来的东西就是月底，主要是因为我可以收到工资。,"Hiện tại, điều tôi mong chờ nhất là cuối tháng, chủ yếu là vì tôi sẽ nhận được lương."
575,精神,jīngshén,Danh từ,TINH THẦN,tinh thần,Spirit,精神,TRUE,锻炼身体不仅对我们的身体有很大的帮助，也可以放松我们的精神。,Tập thể dục không chỉ mang lại lợi ích to lớn cho cơ thể mà còn giúp thư giãn tinh thần.
576,草地,cǎodì,Danh từ,THẢO ĐỊA,"bải cỏ; thảo nguyên, đồng cỏ",grassland,草地,TRUE,天气好的时候，我很喜欢躺在草地上欣赏新鲜的空气，绿草的味道。,"Khi thời tiết đẹp, tôi thích nằm trên bãi cỏ và tận hưởng không khí trong lành cùng mùi hương của cỏ xanh."
577,提,tí,Động từ,ĐỀ,"nhắc, nhắc đến, đề cập",carry,提,TRUE,那件事情很难过，我们不要提了。,"Đó là một chuyện rất đáng buồn, chúng ta đừng nhắc đến nó nữa."
578,以为,yǐwéi,Động từ,DĨ VI,"tưởng, tưởng rằng",Think,以为,TRUE,我还以为今天是星期天，所以没去上班。结果就是我被老板批评了。,Tôi tưởng hôm đó là Chủ nhật nên không đi làm. Kết quả là tôi bị sếp mắng.
579,认为,rènwéi,Động từ,NHẬN VI,"cho rằng, nghĩ rằng",think,认为,TRUE,你们认为什么是幸福呢?,Bạn nghĩ hạnh phúc là gì?
580,份,fèn,Lượng từ,PHẦN,"phần, bản, suất (lượng từ cho công việc, tờ báo, văn kiện, quà, thức ăn,...)",share,份,TRUE,这份工作应该交给你负责吧。,Công việc này nên được giao cho bạn.
581,乱,luàn,Tính từ,LOẠN,"rối loạn, lung tung, lộn xộn, hỗn loạn",chaos,乱,TRUE,没有根据的话不能到处乱说。,Những lời không có căn cứ không được đem đi nói lung tung.
582,手忙脚乱,shǒumángjiǎoluàn,Thành ngữ,THỦ MANG CƯỚC LOẠN,"lúng ta lúng túng, luống cuống, chân tay lúng túng",in a flurry,手忙脚乱,TRUE,”手忙脚乱“的意思就是我们不知道怎么做个问题，我们着急得手和脚都乱上来了。,"""Trong trạng thái hoang mang"" có nghĩa là chúng ta không biết cách giải quyết vấn đề, và chúng ta lo lắng đến mức tay chân rối bời."
583,工资,gōngzī,Danh từ,CÔNG TƯ,"tiền lương, lương, lương bổng",salary,工资,TRUE,刚开始上班的时候，工资可以很低，但是不要着急赚钱。最重要的是你可以跟周围的同事学习和积累经验，慢慢工作的效果就提高了。那时候，你可以向经理申请更多的工资也不晚啊。,"Khi mới bắt đầu làm việc, lương của bạn có thể thấp, nhưng đừng vội vàng đòi hỏi nhiều hơn. Điều quan trọng nhất là học hỏi từ đồng nghiệp và tích lũy kinh nghiệm; dần dần, hiệu quả công việc của bạn sẽ được cải thiện. Sau đó, bạn có thể đề nghị quản lý tăng lương."
584,方法,fāngfǎ,Danh từ,PHƯƠNG PHÁP,"phương pháp (để thực hiện đạt được mục tiêu, mang tính hệ thống và khoa học hơn 办法，办法 chỉ là cách tạm thời, ứng biến)",method,方法,TRUE,这个方法对我们的健康很有帮助。,Phương pháp này rất có lợi cho sức khỏe của chúng ta.
585,不得不,bùdébù,Động từ,BẤT ĐẮC BẤT,"không thể không, phải, buộc phải, đành phải, chỉ đành, bất đắc dĩ",have to,不得不,TRUE,他今晚喝了几瓶啤酒了，不得不留下我们家睡觉。因为他一个人开车回去很危险，而他的妻子也很担心。,"Tối nay anh ấy đã uống vài lon bia và phải ở lại nhà chúng tôi ngủ. Lái xe về nhà một mình sẽ rất nguy hiểm đối với anh ấy, và vợ anh ấy cũng lo lắng."
586,楼房,lóufáng,Danh từ,LÂU PHÒNG,"chung cư, nhà lầu",Building,楼房,TRUE,这个楼房很高，有很多居民。,Tòa nhà này rất cao và có nhiều cư dân.
587,责任心,zérènxīn,Danh từ,TRÁCH NHIỆM TÂM,"trách nhiệm, tinh thần trách nhiệm",sense of responsibility,责任心,TRUE,我们应该对工作有责任心。,Chúng ta phải chịu trách nhiệm về công việc của mình.
588,责任感,zérèngǎn,Danh từ,TRÁCH NHIỆM CẢM,ý thức/tinh thần trách nhiệm,Sense of responsibility,责任感,TRUE,我们应该对工作有责任感。,Chúng ta phải chịu trách nhiệm về công việc của mình.
589,错过,cuòguò,Động từ,THÁC QUÁ,"bỏ lỡ, vụt mất, lỡ, để vụt (dịp, cơ hội nào đó)",miss,错过,TRUE,我一定不会错过这个好机会。,Tôi nhất định sẽ không bỏ lỡ cơ hội tuyệt vời này.
590,难题,nántí,Danh từ,NAN ĐỀ,"câu hỏi khó, vấn đề khó, vấn đề nan giải",problem,难题,TRUE,环境污染是一个难题。环境污染和气候变化有很大的关系。环境污染是气候变化最大的原因。这个问题对我们的生活有很大的影响，因为环境污染给我们周围的环境带来很多严重的后果。想要克服那些后果是不容易的，需要国际的互相合作，也需要每个人的努力和坚持。,"Ô nhiễm môi trường là một thách thức lớn. Nó có liên hệ mật thiết với biến đổi khí hậu và có thể nói là nguyên nhân chính gây ra biến đổi khí hậu. Vấn đề này ảnh hưởng sâu sắc đến cuộc sống của chúng ta, vì ô nhiễm môi trường gây ra nhiều hậu quả nghiêm trọng cho môi trường xung quanh. Khắc phục những hậu quả này không dễ dàng; nó đòi hỏi sự hợp tác quốc tế, cũng như nỗ lực và sự kiên trì của mỗi cá nhân."
591,出错,chūcuò,Động từ,XUẤT THÁC,"phạm lỗi, phạm sai lầm, làm lỗi",Error,出错,TRUE,我们一定要了解和理解自己的好朋友。这个很重要，特别是他出错时。互相理解自己的朋友让我们及时给他帮助。,"Chúng ta phải tìm hiểu và hiểu rõ bạn thân của mình. Điều này rất quan trọng, nhất là khi bạn ấy phạm sai lầm. Sự thấu hiểu lẫn nhau giữa bạn bè giúp chúng ta kịp thời giúp đỡ bạn."
592,三人行，必有我师,sānrénxíng ， bìyǒuwǒshī,Thành ngữ,"TAM NHÂN HÀNH, TẤT HỮU NGÃ SƯ","Trong ba người cùng đi, chắc chắn sẽ có người là thầy tôi (khuyến khích tinh thần cầu thị và khiêm tốn trong việc học hỏi từ người khác, cho thấy không ai hoàn hảo và mọi người đều có giá trị đáng để ta học hỏi)",Three people go together there must be my teacher,三人行，必有我师,TRUE,三人行，必有我师。,"Ba người cùng đi, chắc chắn có người là thầy tôi."
593,如何,rúhé,Đại từ,NHƯ HÀ,"thế nào, ra sao, như thế nào",how,如何,TRUE,无论如何，我都不会离开你。,"Dù thế nào đi nữa, tôi sẽ không bao giờ rời bỏ bạn."
594,是否,shìfǒu,Phó từ,THỊ PHỦ,"hay không, phải chăng, có không, liệu có （是否+V）",whether,是否,TRUE,无论她是否爱我，我都祝福她，希望她总是幸福。,"Dù cô ấy có yêu tôi hay không, tôi vẫn chúc cô ấy mọi điều tốt đẹp nhất và hy vọng cô ấy luôn hạnh phúc."
595,因果,yīnguǒ,Danh từ,NHÂN QUẢ,nhân quả,cause and effect,因果,TRUE,或许我们就不该有段因果。,Có lẽ lẽ ra chúng ta không nên có mối quan hệ nhân quả này.
596,原来如此,yuánláirúcǐ,Cụm từ,NGUYÊN LAI NHƯ THỬ,"hóa ra là như vậy, thì ra là vậy",I see,原来如此,TRUE,原来如此。我终于明白了。,Thì ra là vậy. Cuối cùng tôi cũng hiểu rồi.
597,原来是这样,yuánlái shì zhèyàng,Cụm từ,NGUYÊN LAI THỊ GIÁ DẠNG,"hóa ra là như vậy, thì ra là vậy",So that's how it is.,原来是这样,TRUE,原来是这样。如果没有你的解释，我就会误会他了。,Hóa ra là vậy. Nếu không có lời giải thích của bạn thì tôi đã hiểu lầm anh ta rồi.
598,按照时间安排,ànzhào shíjiān ānpái,Cụm từ,ÁN CHIẾU THÌ GIAN AN BÀI,theo lịch trình (theo thời gian đã sắp xếp),According to the schedule,按照时间安排,TRUE,按照时间安排，王经理今天下午两点半得参加一个会议。,"Theo lịch trình, quản lý Wang phải tham dự một cuộc họp lúc 2 giờ 30 chiều nay."
599,按照经验,ànzhào jīngyàn,Cụm từ,ÁN CHIẾU KINH NGHIỆM,theo kinh nghiệm,Based on experience,按照经验,TRUE,按照经验，这个问题应该可以很快解决，请大家放心。,"Dựa trên kinh nghiệm, vấn đề này sẽ được giải quyết nhanh chóng, vì vậy xin hãy yên tâm."
600,预报,yùbào,"Động từ, Danh từ",DỰ BÁO,"dự báo, báo trước; sự dự báo, sự dự đoán",forecast,预报,TRUE,根据天气预报，明天会下大雨。,"Theo dự báo thời tiết, ngày mai trời sẽ mưa rất to."
601,效果,xiàoguǒ,Danh từ,HIỆU QUẢ,hiệu quả,Effect,效果,TRUE,如果你可以改善自己的工作效果，老板会给你奖金。,Nếu bạn có thể cải thiện hiệu quả công việc của mình thì sếp sẽ thưởng tiền cho bạn.
602,合作,hézuò,Động từ,HỢP TÁC,hợp tác,cooperate,合作,TRUE,国际的合作是最重要的任务，让每个国家全面地发展。,"Hợp tác quốc tế là nhiệm vụ quan trọng nhất, giúp mỗi quốc gia phát triển toàn diện."
603,全面,quánmiàn,"Tính từ, Danh từ",TOÀN DIỆN,"tổng thể, toàn diện; sự toàn diện, mọi mặt",comprehensive,全面,TRUE,国际的合作是最重要的任务，让每个国家全面地发展。,"Hợp tác quốc tế là nhiệm vụ quan trọng nhất, giúp mỗi quốc gia phát triển toàn diện."
604,解释,jiěshì,"Động từ, Danh từ",GIẢI THÍCH,"giải thích, giảng giải; lời giải thích",explain,解释,TRUE,老师的解释很清楚，我们班谁都明白今天的课。,"Bài giảng của giáo viên rất rõ ràng, và tất cả học sinh trong lớp đều hiểu bài học hôm nay."
605,改善,gǎishàn,Động từ,CẢI THIỆN,cải thiện,improve,改善,TRUE,如果你可以改善自己的工作效果，老板会给你奖金。,Nếu bạn có thể cải thiện hiệu quả công việc của mình thì sếp sẽ thưởng tiền cho bạn.
606,请客,qǐngkè,Động từ,THỈNH KHÁCH,"mời khách, đãi khách; bao, khao, đãi, mời",dinner,请客,TRUE,今天你请客吧。,Hôm nay mày bao đi.
607,没想到,méixiǎngdào,Động từ,MỘT TƯỞNG ĐÁO,"không ngờ (rằng), chẳng ngờ (rằng), không nghĩ đến",Unexpected,没想到,TRUE,我原来以为做生意很简单，现在还发现是不容易的，没想到遇到很多困难。,"Trước đây tôi từng nghĩ kinh doanh rất dễ, nhưng giờ tôi nhận ra không phải vậy. Tôi không ngờ lại gặp nhiều khó khăn đến thế."
608,奋斗,fèndòu,Động từ,PHẤN ĐẤU,phấn đấu,struggle,奋斗,TRUE,他在努力奋斗为了他的将来。,Anh ấy nỗ lực phấn đấu vì tương lai của bản thân.
609,顺便,shùnbiàn,Phó từ,THUẬN TIỆN,"thuận tiện, nhân tiện, tiện thể",By the way,顺便,TRUE,商场正好打七折，我们顺便去买一台冰箱吧。,"Trung tâm thương mại đang giảm giá 30%, nhân tiện chúng ta đến đó mua một cái tủ lạnh đi."
610,台,tái,Lượng từ,ĐÀI,"(được dùng cho máy móc): cái, chiếc; (được dùng cho buổi diễn, kịch, chương trình): buổi",tower,台,TRUE,这台冰箱的质量好不好？,Tủ lạnh này có chất lượng tốt không?
611,美人鱼,měirényú,Danh từ,MỸ NHÂN NGƯ,"người cá, mermaid",Mermaid,美人鱼,TRUE,你相信世上有美人鱼吗？,Bạn có tin rằng trên đời này có nàng tiên cá không?
612,实在,shízài,"Phó từ, Tính từ",THỰC TẠI,"kỳ thực, quả thực, thực sự; thành thực, chân thật",really,实在,TRUE,这件事情我实在不清楚。,Tôi thực sự không biết gì về chuyện này cả.
613,制冷,zhìlěng,Động từ,CHẾ LÃNH,"làm lạnh, ướp lạnh",Refrigeration,制冷,TRUE,我们家的冰箱太旧了，制冷效果也不太好了。,Tủ lạnh nhà tôi quá cũ và không còn làm lạnh tốt nữa.
614,葡萄,pútao,Danh từ,BỒ ĐÀO,"nho, quả nho",Grape,葡萄,TRUE,我们给王老师买这瓶葡萄酒吧。,Chúng ta hãy mua tặng thầy Vương chai rượu nho này nhé.
615,艺术,yìshù,"Danh từ, Tính từ",NGHỆ THUẬT,"nghệ thuật; có tính nghệ thuật (đẹp, nghệ cả củ)",Art,艺术,TRUE,这个葡萄酒看起来不错，你看它的酒瓶做得这么艺术。,"Chai rượu nho này trông có vẻ không tồi, bạn xem, cái chai được thiết kế rất nghệ thuật luôn."
616,各地,gèdì,Danh từ,CÁC ĐỊA,"các nơi, mọi nơi, khắp nơi",various places,各地,TRUE,他们一起去世界各地旅游。,Họ cùng nhau đi du lịch khắp nơi trên thế giới.
617,光说不练,guāngshuōbùliàn,Thành ngữ,QUANG THUYẾT BẤT LUYỆN,chỉ nói mà không làm,All talk and no action,光说不练,TRUE,“光说不练” 的意思是有些人只是嘴上说话，实际上，他们没把计划做好。,"""Nói suông mà không làm"" có nghĩa là một số người chỉ biết nói mà không thực hiện kế hoạch của mình một cách hiệu quả."
618,样子,yàngzi,Danh từ,DẠNG TỬ,"hình dạng, kiểu dáng; bộ dạng, dáng vẻ (tâm trạng người)",appearance,样子,TRUE,对我来说，衣服的样子流行不流行并不是很重要。,"Với tôi, kiểu dáng của quần áo có đang thịnh hành hay không không quan trọng."
619,尤其,yóuqí,Phó từ,VƯU KỲ,"đặc biệt là, nhất là",especially,尤其,TRUE,年轻人尤其喜欢在网上买东西。,Giới trẻ đặc biệt thích mua sắm trực tuyến.
620,受到,shòudào,Động từ,THỤ ĐÁO,"nhận được, nhận, chịu (cảm giác, tinh thần, danh từ trừu tượng)",Received,受到,TRUE,网上购物能够受到人们的喜爱。,Mua sắm trực tiếp có thể với tay nhận được sự yêu thích của mọi người.
621,收到,shōudào,Động từ,THU ĐÁO,"nhận được, tiếp nhận (vật chất)",receive,收到,TRUE,我已经收到了你的邮件。,Tôi đã nhận được email của bạn.
622,卖家,màijiā,Danh từ,MẠI GIA,người bán,seller,卖家,TRUE,卖家可以把你买的东西寄到你办公室或者家里，非常方便。,"Người bán có thể giao hàng đến văn phòng hoặc nhà riêng của bạn, rất tiện lợi."
623,各位,gèwèi,Đại từ,CÁC VỊ,"các vị, mọi người (xưng hô lịch sự, trang trọng)",Dear friends,各位,TRUE,各位乘客，请注意，飞机十五分钟后就降落。,"Thưa quý hành khách, máy bay sẽ hạ cánh trong vòng mười lăm phút nữa."
624,客厅,kètīng,Danh từ,KHÁCH SẢNH,phòng khách,living room,客厅,TRUE,我们家的客厅很大。,Phòng khách nhà chúng tôi rất rộng.
625,房价,fángjià,Danh từ,PHÒNG GIÁ,"giá nhà, giá phòng",housing prices,房价,TRUE,这个房子里离商店，公园，学校，地铁站都很近，所以房价有点贵。,"Ngôi nhà này nằm rất gần các cửa hàng, công viên, trường học và ga tàu điện ngầm, vì vậy giá bán hơi cao."
626,评价,píngjià,"Danh từ, Động từ",BÌNH GIÁ,"sự đánh giá; đánh giá, nhận xét",evaluate,评价,TRUE,这个商品有什么评价标准？,Tiêu chí đánh giá sản phẩm này là gì?
627,售货员,shòuhuòyuán,Danh từ,THỤ HÓA VIÊN,nhân viên bán hàng,Salesperson,售货员,TRUE,这家商店的售货员服务很热情，介绍我们很多商品。,Nhân viên bán hàng tại cửa hàng này rất thân thiện và giới thiệu cho chúng tôi nhiều sản phẩm.
628,袜子,wàzi,Danh từ,MIỆT TỬ,"tất, vớ (lượng từ: shuang)",sock,袜子,TRUE,我想买两双袜子，哪里卖吧？,"Tôi muốn mua hai đôi tất, tôi có thể mua ở đâu?"
629,竟然,jìngrán,Phó từ,CÁNH NHIÊN,"không ngờ, vậy mà, thế mà (diễn tả sự bất ngờ, ngạc nhiên)",it turns out,竟然,TRUE,来这家饭店吃饭的人竟然这么多，排队都排到门口外边去了！,"Người đến nhà hàng này ăn cơm thế mà lại rất đông, xếp hàng phải xếp đến tận ngoài cửa!"
630,百分之,bǎifēnzhī,Danh từ,BÁCH PHÂN CHI,phần trăm (百分之 + số),percent,百分之,TRUE,我们大学有百分之六十五的学生是男生。,Sáu mươi lăm phần trăm sinh viên tại trường đại học của chúng tôi là nam giới.
631,倍,bèi,Lượng từ,BỘI,lần (gấp mấy lần),times,倍,TRUE,可以说，我们大学的男生比女生的两倍。,Có thể nói rằng số lượng sinh viên nam nhiều gấp đôi số lượng sinh viên nữ tại trường đại học của chúng tôi.
632,尝,cháng,Động từ,THƯỜNG,"nếm, thử, thưởng thức (đồ ăn thức uống)",taste,尝,TRUE,这个菜很好吃，你尝一尝吧。,"Món này ngon lắm, bạn nên thử."
633,轻,qīng,"Tính từ, Động từ",KHINH,"nhẹ; khinh, coi thường",light,轻,TRUE,我要买一个轻一点儿的行李箱，你有那种好吗？,"Tôi muốn mua một chiếc vali nhẹ một chút, bạn có loại nào tốt không?"
